,target,text,tweet_clean,bert_prediction,modernbert_prediction,target_mapped
46,0,My personal trainer &amp; myworkout buddy @snowshimmers R making me workout when all I want is a martini  Gettin NC ready I guess? Sad times,personal trainer amp myworkout buddy   r make workout want martini   gettin nc ready guess sad time,0,0,0
47,0,@CampNicole Actually? I just looked and realized I am on song 29 of 30 and soon I will have heard them all. Want more. ,  actually look realize song 29 30 soon hear want,0,0,0
48,0,@StoneBrewingCo um... thats my favorite beer!! why must you torture me so when I can't make it down there!! ,  um favorite beer must torture can not make,1,0,0
49,0,I'm having technical difficulties... Probably no videos for a while... ,technical difficulty probably video,0,0,0
50,4,"@cynthiaeden That happened to me NY's Eve. Wrote 1200 words, thought I'd squeeze in bits around other books. WC still =1200. Good luck! ",  happen nys eve write 1200 word think squeeze bit around book wc still 1200 good luck,1,0,1
51,4,@Matyland Awww but you had a good night though? ,  awww good night though,0,0,1
52,4,"@Mr_Geoff Thanks...just feeling sorry for myself.  Storms always pass sometime, you know, when they're not destroying small towns ",  thanksjust feel sorry   storm always pass sometime know destroy small town,0,0,1
53,4,@jacqueocs hi! settings are based in your normal iPhone settings screen.. GPS is built in when u tweet if you tap the 'locate me' button ,  hi setting base normal iphone setting screen gps build u tweet tap locate button,1,1,1
54,4,"Single. Finallyyy hahaha  @masbesos time to party, love! Good thing you ditched that boy toy of yours ;) hahaha kidding @prince4whatever!",single finallyyy hahaha    time party love good thing ditch boy toy   hahaha kid,1,1,1
55,4,I think someone should talk to me this morning... ,think someone talk morning,1,1,1
56,4,@aphroditexl http://twitpic.com/6r55w - Can't wait to see all the other pics you've taken!! ,    can not wait see pic take,1,1,1
57,4,@Cellucor Awesome! Can't wait to get my hands on one! ,  awesome can not wait get hand one,1,1,1
58,4,Im making supper...no drink for me tonite. Gym time later! ,make supperno drink tonite gym time later,1,1,1
59,4,@ecobaby LOL! Thanks for sharing that. Great to know I'm not alone ,  lol thank share great know alone,1,1,1
60,4,wuzuppp twitterssss.. ,wuzuppp twitterssss,1,1,1
61,4,@grenadeBOOM OOOOOOO!!! What's it like!!?  exciting!,  ooooooo like   exciting,1,1,1
62,4,@suzie_single Oh! Thank you! ,  oh thank,1,1,1
63,4,the ballet musical was very amazing!!  i really want to see it again!,ballet musical amazing   really want see,0,1,1
64,4,excited to see the forecast for the week has changed to more rain. I hate the sun when I'm pregnant! haha  too HOT,excited see forecast week change rain hate sun pregnant haha   hot,0,1,1
65,4,did the race for life today ,race life today,1,1,1
66,4,I think someone finally told england that it's June. Another nice day in the city ,think someone finally tell england june another nice day city,1,1,1
67,4,#Horoscope #Scorpio -You may find today that all is well on the domestic front.  http://tinyurl.com/o2hufk,horoscope scorpio may find today well domestic front  ,1,1,1
68,4,"I love sleeping on the couch, and I thank my parents for introducing me to it. Good morning Saturday ",love sleep couch thank parent introduce good morning saturday,1,1,1
69,4,"@Galaxykaren hiyahh karen always listnin to the show on a morning , tweet backk ",  hiyahh karen always listnin show morning   tweet backk,1,1,1
70,4,@mutdlegend  ohhhh I see.. I'll google it later ,   ohhhh see ill google later,1,0,1
71,4,is awake. just typing away.  http://plurk.com/p/xpkpd,awake type away  ,1,1,1
72,4,"@GarrendennyLane it was wonderful thanks, so sunny and the place we stayed was perfect. Just what we all needed! Hope you're OK  x",  wonderful thank sunny place stay perfect need hope ok   x,1,1,1
73,4,"@kmbrune oh thanks!  that's my neice!  she just celebrated her 1st bday - such a cutie, that one! ",  oh thank   neice   celebrate 1st bday   cutie one,1,1,1
74,4,@KatherynWinnick Which of Katheryn's followers think that we would make a cute couple?  Please let her know.  ,  katheryn follower think would make cute couple   please let know  ,1,1,1
75,4,drinking sugarfree red bull. ,drink sugarfree red bull,1,1,1
76,4,@pheobo lol shutup. i get in for free an hangs backstage  suck it haha,  lol shutup get free hang backstage   suck haha,0,1,1
77,4,Reaaaaaaaaaally wanna go alton towers or thorpe park in the 6 weeks. ,reaaaaaaaaaally wanna go alton tower thorpe park 6 week,0,0,1
78,4,@exit4 Thanks for following ,  thank follow,1,1,1
79,4,@wearelasers Mawnin'! Hope u have a good day ,  mawnin hope u good day,1,1,1
80,4,@DanielDevlin lol you keep bringin it with these tweets ,  lol keep bringin tweet,1,1,1
81,4,"ah yeah, you work for it &amp; work to keep it up, such is life ",ah yeah work amp work keep life,1,0,1
82,4,@paulmwoods haha winner! but if goin spare u kno i wont waste it ,  haha winner goin spare u kno will not waste,1,1,1
83,4,free time! its monday.... no school! ) YAY! watching &quot;Hannah Montana The Movie&quot; ! ,free time monday school   yay watch quothannah montana moviequot  ,1,1,1
84,4,@GirlSascha I like watching @souljaboytellem @seankingston when the stream live. ,  like watch    stream live,1,1,1
85,4,"@fafs morning hon, looking forward to dindins later, did u get all ur shopping done?  what did u cook for B?",  morning hon look forward dindin later u get ur shop do   u cook b,1,1,1
86,4,@voluntas do the arithmetic before you measure ,  arithmetic measure,0,1,1
87,4,"@jenny050085 Hi HUn  Yeah there should be a pill we can take to blank out the rest of the working week, Actually i think there is LOL",  hi hun   yeah pill take blank rest work week actually think lol,1,0,1
88,4,"Arriving in Ghent, dropping off stuff , then to the park with book ",arrive ghent drop stuff   park book,0,1,1
89,4,@Firewoman74 so you don't want me to ask? ,  not want ask,0,0,1
90,4,@KalebNation meeeee! Do it please! ,  meeeee please,0,0,1
91,4,Conan seems to be settling in tonight.  Not really liking the ESPN Yankees improving.  Hope the ESPN Lakers lose Thursday. ,conan seem settle tonight   really like espn yankees improve   hope espn laker lose thursday,0,1,1
92,4,I'm on the beach.  And you're (probably) not. ,beach   probably,1,1,1
93,4,@PeaceluvanManda I think 5:30 but I'm not sure I'll let u know! ,  think 530 sure ill let u know,1,1,1
94,4,@Mystery84 Too much traffic has never stopped me before. They still got sidewalks I can drive on! ,  much traffic never stop still get sidewalk drive,0,1,1
95,4,is enjoying the twitter world ,enjoy twitter world,1,1,1
96,4,had a good weekend. friday was amazing ,good weekend friday amazing,1,1,1
97,4,@DonnieWahlberg Hi from Phoenix. I'm at work right now. busy. See u July 12. ,  hi phoenix work right busy see u july 12,1,1,1
98,4,@Jonasbrothers You boys just reherse reherse....no wonder u 3 rock so much! ,  boy reherse reherseno wonder u 3 rock much,1,1,1
99,4,"@Lizloz lol thought u was going to take a pic of the ironing board, drat! ",  lol think u go take pic iron board drat,1,0,1
